dataset/map

Esperimento	moravec_thr	lr_thr	E [%]	Densità [%]	MAE [px]

Baseline	—		—	94.1	100.0		9.82
T2 originale	100		1.0	42.6	8.0		2.16
T2-M200		200		1.0	42.5	8.0		2.16
T2-M50		50		1.0	42.6	8.0		2.16
T2-M20		20		1.0	42.6	8.0		2.16
T2-M10		10		1.0	42.6	8.0		2.16
T2-M5		5		1.0	42.6	8.0		2.16
T2-M1		1		1.0	42.6	8.0		2.16
T2-LR0.5	10		0.5	21.9	2.8		1.9
T2-LR2		10		2	66.7	13.9		2.5
T2-LR3		10		3	76.5	19.7		2.9
T2-LR5		10		5	88.5	42.7		4.1


dataset/sawtooth

Esperimento	moravec_thr	lr_thr	E [%]	Densità [%]	MAE [px]

Baseline	—		—	95.5	100.0		7.9
T2 originale	100		1.0	44.8	5.6		2.7
T2-M200		200		1.0	45.5	5.1		2.7
T2-M50		50		1.0	42.5	6.1		2.6
T2-M20		20		1.0	41.4	6.5		2.5
T2-M10		10		1.0	41.4	6.5		2.5
T2-M5		5		1.0	41.4	6.5		2.5
T2-M1		1		1.0	41.4	6.5		2.5
T2-LR0.5	10		0.5	27.5	2.2		2.8
T2-LR2		10		2	65.5	11.2		2.7
T2-LR3		10		3	77.0	17.0		2.9
T2-LR5		10		5	89.3	38.7		3.7

dataset/tsukuba

Esperimento	moravec_thr	lr_thr	E [%]	Densità [%]	MAE [px]

Baseline	—		—	100	100.0		6.9
T2 originale	100		1.0	44.8	5.6		2.7
T2-M200		200		1.0	45.5	5.1		2.7
T2-M50		50		1.0	42.4	6.1		2.6
T2-M20		20		1.0	41.4	6.5		2.5
T2-M10		10		1.0	41.4	6.5		2.5
T2-M5		5		1.0	41.4	6.5		2.5
T2-M1		1		1.0	41.4	6.5		2.5
T2-LR0.5	10		0.5	27.5	2.2		2.8
T2-LR2		10		2	65.5	11.2		2.6
T2-LR3		10		3	77.1	17.0		2.9
T2-LR5		10		5	89.3	38.7		3.7

dataset/venus

Esperimento	moravec_thr	lr_thr	E [%]	Densità [%]	MAE [px]

Baseline	—		—	95.8	100.0		6.8
T2 originale	100		1.0	44.8	5.6		2.7
T2-M200		200		1.0	45.5	5.1		2.7
T2-M50		50		1.0	42.4	6.1		2.6
T2-M20		20		1.0	41.4	6.5		2.5
T2-M10		10		1.0	41.4	6.5		2.5
T2-M5		5		1.0	41.4	6.5		2.5
T2-M1		1		1.0	41.4	6.5		2.5
T2-LR0.5	10		0.5	27.5	2.2		2.8
T2-LR2		10		2	65.5	11.2		2.6
T2-LR3		10		3	77.1	17.0		2.9
T2-LR5		10		5	89.3	38.7		3.7

